Name,Role,Company,Company Description,Stage,Region,LinkedIn URL,X/Twitter URL,Why Relevant
Emir Atli,Co-founder & CRO,HockeyStack,AI revenue agent / GTM analytics platform,Series B ($50M raised),US (SF),https://www.linkedin.com/in/emircatli/,https://x.com/emiratli_,"Reference profile. 5x/week LinkedIn posting, ~3M monthly impressions, hosts AI for GTM podcast + The Flow media property"
Adam Robinson,CEO,RB2B & Retention.com,B2B visitor identity / person-level deanonymization,Bootstrapped (~$25M ARR),US (Austin),https://www.linkedin.com/in/retentionadam/,https://x.com/RetentionAdam,"Radical financial transparency on LinkedIn. Posts P&L, revenue, churn. Primary pipeline channel is his LinkedIn"
Gal Aga,Co-founder & CEO,Aligned,Digital sales room / buyer enablement,Series A,US/Israel,https://www.linkedin.com/in/galaga/,,Drives ~3M LinkedIn views/month personally. Tactical sales leadership posts with win-rate data
Marty Kausas,Co-founder & CEO,Pylon,Modern B2B customer support platform,"Series B (a16z, BCV)",US (SF),https://www.linkedin.com/in/martykausas/,https://x.com/marty_kausas,Batches 5hrs every Sunday writing LinkedIn posts for all 3 co-founders. Anti-sale founder-led content
Paul Klein IV,Founder & CEO,Browserbase,Headless browser infra for AI agents,Series B (~$300M val),US (SF),https://www.linkedin.com/in/paul-klein-iv/,https://x.com/pk_iv,"Direct AI infra peer. X-native founder content. Customers: Ramp, Perplexity, Vercel, Lovable"
Flo Crivello,Founder & CEO,Lindy,AI agents / AI employees platform,Series A,US (SF),https://www.linkedin.com/in/florentcrivello/,https://x.com/Altimor,Long-form essays + product journey transparency. Previously founded Teamflow
Sahil Lavingia,Founder & CEO,Gumroad,Creator commerce platform,Exit-stage bootstrapped (~$10M ARR),US (NY),https://www.linkedin.com/in/sahillavingia/,https://x.com/shl,"386K+ X followers. Minimalist essays, radical financial disclosure. Author of The Minimalist Entrepreneur"
Amjad Masad,Co-founder & CEO,Replit,AI coding / agent development platform,Unicorn (Series B+),US (SF),https://www.linkedin.com/in/amjadmasad/,https://x.com/amasad,"450K X followers. Product launches, dev philosophy, Jordan-to-SF founder arc"
Andrew Gazdecki,Founder & CEO,Acquire.com,Startup M&A marketplace,Scaled ($500M+ deals facilitated),US,https://www.linkedin.com/in/agazdecki/,https://x.com/agazdecki,"308K X followers. Humor-first build-in-public, meme-heavy founder voice"
Amanda Goetz,Founder / Creator,Life's A Game,Creator economy / fractional CMO,Solo creator (2x exited founder),US (NY),https://www.linkedin.com/in/amandagoetz/,https://x.com/AmandaMGoetz,"~150K multi-platform audience. Blends founder vulnerability, creator frameworks, anti-hustle"
